store_key,item_key,naive_mape,naive_sigma,best_model_name,best_mape,best_sigma,sigma_reduction_pct
1,1,0.28822682361936713,6.357585730532482,XGBoost,0.2324804842363781,4.755866587731112,25.193826881626926
1,2,0.15220853359904685,10.55957096379022,XGBoost,0.10167502258931045,7.293531530187251,30.92966035080905
1,3,0.22040207547458174,8.582328035856596,XGBoost,0.14915763618618244,5.925161377118227,30.960907665575597
1,4,0.26586607497889825,6.5576479970144215,XGBoost,0.18811637404430415,4.331803703092008,33.94272298445724
1,5,0.3103396272596228,6.195377652110441,XGBoost,0.22818260915621003,4.286730377211412,30.80760176498446
1,6,0.16373291098587284,11.176621392127082,XGBoost,0.11662187519197668,7.985686214016373,28.550087420501104
1,7,0.18495321248868368,11.88980299220732,XGBoost,0.12910423201556948,8.04246836901041,32.35827057621129
1,8,0.18028309196795642,15.741203111394343,XGBoost,0.10727260446631026,9.539815241202122,39.395895131442124
1,9,0.21167766176796812,11.682084322725464,XGBoost,0.13912386273100602,7.7951993854454695,33.27218696511834
1,10,0.18422538590934676,15.405507792009658,XGBoost,0.11466716985379331,9.741837724638986,36.763929783010695
1,11,0.16868808150977357,12.698396880132952,XGBoost,0.11380986252077666,8.94706338823964,29.541788048555905
1,12,0.13217986015471245,10.637626698084372,XGBoost,0.09035088103825596,7.131288934126964,32.961654544512555
1,13,0.16314497303326828,15.180707952271357,XGBoost,0.10628735970919478,10.297860243639942,32.16482211490563
1,14,0.18578492607898375,12.552512725690388,XGBoost,0.10066180970954235,7.07406513893424,43.64423049373832
1,15,0.14274003649582562,13.95963740036743,XGBoost,0.09501270297752981,9.314044658447166,33.27874935919173
1,16,0.32469077138605357,9.150667240219846,XGBoost,0.23055281227569926,6.1875385564273975,32.381558699551825
1,17,0.23766561119304017,8.019289632578445,XGBoost,0.16744033172420722,5.574492016990252,30.486461115660145
1,18,0.14538722400857426,13.525647630065968,XGBoost,0.10292875346393285,9.909538245590033,26.735203247774532
1,19,0.18654459773597457,8.418264447138668,XGBoost,0.14140676143640513,6.280152438659432,25.39848946187443
1,20,0.20703239605016321,10.649359740202888,XGBoost,0.1377266060402537,7.142087230712762,32.93411618211807
1,21,0.20143810403562026,8.523820645382495,XGBoost,0.12842781201278852,5.9688410253515345,29.97458213078472
1,22,0.13744925169005753,14.27396853489975,XGBoost,0.09179069688282984,8.752923147026916,38.67911978630132
1,23,0.25803057883225256,8.748291758717935,XGBoost,0.15203189963399205,5.423100460388129,38.0096067899902
1,24,0.1616133881401003,11.049702030127808,XGBoost,0.11531052590733562,8.42446629512156,23.758430117376506
1,25,0.16323490204612454,14.266941798604167,XGBoost,0.10414341057692421,9.657158225271235,32.310943987897524
1,26,0.18963089254171442,9.709418836489617,XGBoost,0.13862079460487592,7.265366688231327,25.17197156098708
1,27,0.27273731450846944,6.316693843935481,XGBoost,0.17354045914091817,4.32678819996596,31.502328482802533
1,28,0.1595957777888553,16.542359733479366,XGBoost,0.09944074141570702,10.613621182372855,35.8397389890367
1,29,0.17619684530163698,15.04744844583468,XGBoost,0.10820853306855419,9.430922575025493,37.325436874076225
1,30,0.19155065318102124,8.590709322858729,XGBoost,0.1316280648885109,6.076536110266468,29.26618883381821
1,31,0.1805967089655817,11.607219485946473,XGBoost,0.11060308287708394,7.501157910971519,35.3750661814089
1,32,0.206636057834708,9.601197369188977,XGBoost,0.1395727402060849,6.944210251850927,27.67349753546925
1,33,0.16082353774240948,12.777240837556711,XGBoost,0.11282453688040656,8.888471506320569,30.43512586696895
1,34,0.23209218692795694,6.588540269001486,XGBoost,0.18113419904080685,5.039490631449161,23.51127221367182
1,35,0.16582609995000244,12.768936828512008,XGBoost,0.09534689237271834,7.019227360802624,45.0288817693165
1,36,0.1604880677311775,13.787965004943413,XGBoost,0.1164620033541013,9.716920337450874,29.52607339830745
1,37,0.29607917759941194,9.402573322934934,XGBoost,0.20201663916767554,6.5574419470683765,30.25907140683136
1,38,0.16956561232857434,16.425816674252427,XGBoost,0.10812022915427537,10.630866537250247,35.27952522498198
1,39,0.26145018021698485,12.459907035181695,XGBoost,0.15899427455290924,7.589935191714128,39.08513787235132
1,40,0.22461952763821924,7.350419510829891,XGBoost,0.1639940226459272,5.392261368672079,26.640086858616975
1,41,0.30595732526965824,7.557076969755146,XGBoost,0.2297981432334128,5.551660071849478,26.53693889756219
1,42,0.2250287651253265,8.884639170321616,XGBoost,0.15512078518273278,6.246858414754071,29.689227722143496
1,43,0.18694861796344983,10.280926216080308,XGBoost,0.1415904478165699,7.905447623173422,23.105686617917954
1,44,0.2961319306002413,9.764859674979958,XGBoost,0.19501013739075032,6.614494923894272,32.26226342153915
1,45,0.16520061638337452,14.913362635340416,XGBoost,0.11016385947480066,9.900163295087706,33.61548607671389
1,46,0.18949105871810287,12.729217062842748,XGBoost,0.11694580457439056,7.834092302659059,38.455819678594494
1,47,0.2541242262107368,6.116952234119204,XGBoost,0.17583462005259706,4.471988893246502,26.891878143128324
1,48,0.18018974704684532,9.95249106286593,XGBoost,0.12631712096310233,6.839317786303093,31.280342347440037
